type,rating
movie,3.63
movie,3.63
movie,3.63
tv,3.63
tv,3.63
movie,3.63
tv,3.63
tv,3.63
movie,3.63
tv,3.63
tv,3.63
tv,3.63
tv,3.63
tv,3.63
movie,3.62
tv,3.62
tv,3.62
movie,3.62
tv,3.62
tv,3.62
movie,3.62
movie,3.62
movie,3.62
movie,3.62
tv,3.62
movie,3.62
tv,3.62
tv,3.61
movie,3.61
movie,3.61
movie,3.61
tv,3.61
tv,3.61
movie,3.61
tv,3.61
movie,3.61
tv,3.61
movie,3.61
tv,3.61
movie,3.61
tv,3.61
movie,3.61
tv,3.61
movie,3.61
movie,3.61
movie,3.61
tv,3.61
tv,3.61
tv,3.6
tv,3.6
tv,3.6
movie,3.6
movie,3.6
tv,3.6
tv,3.6
tv,3.6
tv,3.6
movie,3.6
movie,3.6
tv,3.6
movie,3.6
movie,3.6
tv,3.6
movie,3.6
tv,3.6
movie,3.6
movie,3.6
tv,3.6
tv,3.6
tv,3.6
movie,3.6
movie,3.6
tv,3.59
tv,3.59
tv,3.59
movie,3.59
tv,3.59
tv,3.59
tv,3.59
movie,3.59
tv,3.59
tv,3.59
movie,3.59
tv,3.59
movie,3.59
movie,3.59
tv,3.58
movie,3.58
tv,3.58
movie,3.58
movie,3.58
movie,3.58
tv,3.58
movie,3.58
tv,3.58
tv,3.58
tv,3.58
tv,3.58
movie,3.58
tv,3.58
movie,3.58
tv,3.58
movie,3.57
tv,3.57
tv,3.57
tv,3.57
tv,3.57
movie,3.57
movie,3.57
tv,3.57
tv,3.57
tv,3.57
tv,3.57
movie,3.57
tv,3.57
movie,3.56
tv,3.56
movie,3.56
tv,3.56
tv,3.56
movie,3.56
tv,3.56
tv,3.56
tv,3.56
movie,3.56
tv,3.56
tv,3.56
tv,3.56
tv,3.56
tv,3.56
movie,3.56
tv,3.55
tv,3.55
movie,3.55
tv,3.55
tv,3.55
movie,3.55
tv,3.55
movie,3.55
tv,3.55
tv,3.55
movie,3.55
movie,3.55
movie,3.55
tv,3.55
movie,3.55
movie,3.55
tv,3.55
tv,3.55
movie,3.55
movie,3.55
tv,3.54
movie,3.54
movie,3.54
tv,3.54
tv,3.54
tv,3.54
tv,3.54
tv,3.54
movie,3.54
tv,3.54
movie,3.54
tv,3.54
tv,3.54
movie,3.54
tv,3.54
movie,3.54
tv,3.54
tv,3.54
movie,3.54
tv,3.54
movie,3.54
movie,3.54
movie,3.54
tv,3.54
movie,3.54
tv,3.54
tv,3.53
movie,3.53
tv,3.53
tv,3.53
tv,3.53
movie,3.53
movie,3.53
tv,3.53
tv,3.53
tv,3.53
movie,3.53
tv,3.53
movie,3.53
tv,3.53
tv,3.53
tv,3.53
tv,3.53
tv,3.53
movie,3.52
tv,3.52
tv,3.52
tv,3.52
tv,3.52
movie,3.52
tv,3.52
movie,3.52
movie,3.52
tv,3.52
tv,3.52
tv,3.51
tv,3.51
movie,3.51
tv,3.51
tv,3.51
movie,3.51
tv,3.51
tv,3.51
movie,3.51
tv,3.51
tv,3.51
movie,3.51
movie,3.51
movie,3.51
movie,3.51
tv,3.51
tv,3.51
tv,3.51
